data,medidor,consumo
2026-06-15,66107.00,
2026-06-16,66130.00,23.00
2026-06-17,66162.00,32.00
2026-06-18,66172.00,10.00
2026-06-19,66196.00,24.00
2026-06-20,66220.00,24.00
2026-06-21,66230.00,10.00
2026-06-22,66234.00,4.00
2026-06-23,66265.00,31.00
2026-06-24,66293.00,28.00
2026-06-25,66309.00,16.00
2026-06-26,66335.00,26.00
2026-06-27,66348.00,13.00
2026-06-28,66358.00,10.00
2026-06-29,66360.00,2.00
2026-06-30,66372.00,12.00
2026-07-01,66388.00,16.00
2026-07-02,66410.00,22.00
2026-07-03,66433.00,23.00
2026-07-04,66465.00,32.00
2026-07-05,66477.00,12.00
2026-07-06,66481.00,4.00
2026-07-07,66498.00,17.00
2026-07-08,66542.00,44.00
2026-07-09,66546.00,4.00
2026-07-10,66579.00,33.00
2026-07-11,66589.00,10.00
2026-07-12,66596.00,7.00
2026-07-13,66619.00,23.00
2026-07-14,66631.00,12.00
2026-07-15,66647.00,16.00
2026-07-16,66668.00,21.00
2026-07-17,66696.00,28.00
2026-07-18,66709.00,13.00
2026-07-19,66709.00,0.00
2026-07-20,66710.00,1.00
2026-07-21,66739.00,29.00
2026-07-22,66771.00,32.00
2026-07-23,66796.00,25.00
2026-07-24,66805.00,9.00
2026-07-25,66830.00,25.00
2026-07-26,66844.00,14.00
2026-07-27,66863.00,19.00
2026-07-28,66886.00,23.00
2026-07-29,66910.00,24.00
2026-07-30,66939.00,29.00
2026-07-31,66964.00,25.00
2026-08-01,66965.00,1.00
2026-08-02,66973.00,8.00
2026-08-03,66983.00,10.00
2026-08-04,66997.00,14.00
2026-08-05,67021.00,24.00
2026-08-06,67064.00,43.00
2026-08-07,67071.00,7.00
2026-08-08,67090.00,19.00
2026-08-10,67112.00,22.00
2026-08-11,67142.00,30.00
2026-08-12,67168.00,26.00
2026-08-13,67187.00,19.00
2026-08-14,67196.00,9.00
2026-08-15,67219.00,23.00
2026-08-16,67232.00,13.00
2026-08-17,67235.00,3.00
2026-08-18,67264.00,29.00
2026-08-19,67277.00,13.00
2026-08-20,67300.00,23.00
2026-08-21,67325.00,25.00
2026-08-22,67364.00,39.00
2026-08-23,67364.00,0.00
2026-08-24,67369.00,5.00
2026-08-25,67388.00,19.00
2026-08-26,67418.00,30.00
2026-08-27,67434.00,16.00
2026-08-28,67438.00,4.00
2026-08-29,67485.00,47.00
2026-08-30,67489.00,4.00
2026-08-31,67496.00,7.00
2026-09-01,67615.00,119.00
2026-09-02,67645.00,30.00
